Stadt,Anzahl_Firmen,lat,lon
Zürich,2,47.37998781,8.55001013
Kaiserslautern,18,0,0
Gummersbach,4,0,0
Hannover-Linden,2,0,0
Tilburg (Niederande),2,0,0
Neuruppin,14,0,0
Dorsten,3,0,0
Brake,3,0,0
Rumänien),140,0,0
Bad Liebenzell,2,0,0
Neunkirchen,7,0,0
Ostheim,2,0,0
Lüneburg,10,0,0
Pforzheim,9,0,0
Grafenwöhr,2,0,0
Marne,4,0,0
St. Rupert,2,0,0
Osterode,5,0,0
Siegen,13,0,0
Zofingen (Schweiz),4,0,0
Jerusalem (Palästina),4,0,0
Säckingen,6,0,0
Graslitz,2,0,0
Halle (Saale) und Berlin,2,0,0
Brandenburg,9,0,0
Marienstatt bei Hachenburg,2,0,0
später Deggendorf,2,0,0
Klagenfurt (Österreich),9,0,0
Neinstedt,3,0,0
Harburg-Wilhelmsburg,4,0,0
Wertheim,2,0,0
Höxter,4,0,0
später Baitz-Belzig,2,0,0
Brüx,3,0,0
später Mittenwald,2,0,0
Fürstenfeld (Österreich),2,0,0
Cottbus,27,51.7704175,14.32996741
Mittelwalde,3,0,0
später Urach,2,0,0
später Honnef,2,0,0
Blankenburg,9,0,0
später Bad Reichenhall,3,0,0
Mechtal über Beuthen,2,0,0
später Heidelberg,7,0,0
Birnbaum,2,0,0
Marsberg,2,0,0
St. Pölten (Österreich),6,0,0
Möhringen,2,0,0
Reppen,3,0,0
Hann. Münden,4,0,0
später Pfarrkirchen,2,0,0
Stolberg,4,0,0
Achim,2,0,0
Meldorf,4,0,0
Auf der Marksburg b. Braubach,2,0,0
Wetter,3,0,0
Burg,14,0,0
Amorbach,2,0,0
Hollabrunn (Österreich),3,0,0
Bad Nauheim,5,0,0
Annaberg,7,0,0
Crimmitschau,14,0,0
Baden (Schweiz),4,0,0
Kolberg,4,0,0
später Schildhorst,2,0,0
Wattenscheid,6,0,0
Weidenau,3,0,0
Opladen,4,0,0
Sarstedt,2,0,0
Hohenstadt,2,0,0
Wilhelmshaven,14,0,0
Putbus,2,0,0
Waldenburg,12,0,0
Bad Godesberg,5,0,0
Hagen,18,0,0
Neckargemünd,2,0,0
Ungarn),21,0,0
Leipa,2,0,0
Verona (Italien),3,0,0
Linz (Rhein),3,0,0
Bologna (Italien),9,0,0
Sortimentsbuchhandlung Mailand (Italien),2,0,0
Freiburg,54,48.00041506,7.869948281
Stuttgart-Zuffenhausen,3,0,0
Bukarest (Rumänien),82,0,0
(Mexiko),3,0,0
Porto (Portugal),11,0,0
Turin (Italien),18,0,0
Wis. (USA),2,0,0
Auerbach,9,0,0
Gossau (Schweiz),3,0,0
Codlea (Rumänien),2,0,0
Horb,2,0,0
Lehrmittel- und Papierhandlung. Altona-Ottensen,2,0,0
Wolgast,3,0,0
Meitingen,2,0,0
Jordan,2,0,0
Aarau (Schweiz),15,0,0
Herford,9,0,0
Bad Salzuflen,7,0,0
Stuttgart-Cannstatt,2,0,0
Wernigerode,16,0,0
Cuxhaven,7,0,0
Werdau,5,0,0
Hamburg-Holstenwall,2,0,0
Stralsund,16,54.30041811,13.10001664
Königsfeld,2,0,0
Neumünster,12,0,0
später Stuttgart-Zuffenhausen,2,0,0
später Torgau,3,0,0
später Duisburg,2,0,0
Säckingen (Baden) und Stein (Schweiz),2,0,0
Zwickau,32,0,0
Schmalkalden,8,0,0
Haarlem (Niederlande),13,0,0
Rendsburg,7,0,0
Litauen),43,0,0
Porto Alegre (Brasilien),18,0,0
Bournemouth (Großbritannien),2,0,0
später Altötting,2,0,0
Manchester (Großbritannien),4,0,0
Bad Aibling,2,0,0
Greven,2,0,0
Neustrelitz,8,0,0
Belgien),8,0,0
Debrecen (Ungarn),4,0,0
Waren (Müritz),4,0,0
Hassloch,2,0,0
Luzern (Schweiz),28,0,0
Treuburg,2,0,0
später Duisburg-Hamborn,3,0,0
Lüdenscheid,7,0,0
Diekirch (Luxemburg),3,0,0
Fredericia (Dänemark),2,0,0
Bad Blankenburg,4,0,0
Sofia (Bulgarien),51,0,0
Allenstein,3,0,0
Balingen,4,0,0
Mühlhausen,18,0,0
Donaueschingen,4,0,0
Gifhorn,2,0,0
Nordhorn,3,0,0
Wormditt,3,0,0
Delmenhorst,7,0,0
Sagan,4,0,0
später Berlin-Schildow,2,0,0
später Marktschellenberg,2,0,0
Buchen,2,0,0
Freystadt,2,0,0
Swinemünde,8,0,0
Landeshut,3,0,0
Datteln,2,0,0
Schweiz),47,0,0
Husum,4,0,0
Rotenburg,4,0,0
Bad Neuenahr,4,0,0
Ribnitz,2,0,0
Wasserburg,3,0,0
Ossegg,2,0,0
Grüssau,2,0,0
Freden,2,0,0
Hamborn,5,0,0
Quedlinburg,9,0,0
Namslau,3,0,0
später Bruckberg,2,0,0
Meseritz,2,0,0
später Neuhof,2,0,0
später Nürnberg,5,0,0
Athen (Griechenland),42,0,0
Schöneiche,3,0,0
Bayreuth,12,0,0
später Radstadt (Österreich),2,0,0
Istanbul-Beyoglu (Türkei),4,0,0
Roklum,2,0,0
Lichtenfels,2,0,0
Santiago (Chile),3,0,0
später Hirnsberg,2,0,0
später Krölpa,2,0,0
Namibia),2,0,0
Bad Berka,2,0,0
Fulda und Bad Salzschlirf,2,0,0
später Kleinwenkheim,2,0,0
Grünwald,3,0,0
später Höckendorf,2,0,0
später Leipzig-Liebertwolkwitz,2,0,0
Salzwedel,8,0,0
Mannheim und Leipzig,2,0,0
Freudenstadt,7,0,0
Bad Tölz,3,0,0
Memmingen,5,0,0
Wassenaar (Niederlande),2,0,0
Alfeld,2,0,0
Genthin,3,0,0
Fulda,11,0,0
Weilburg,3,0,0
später Gröbenzell,3,0,0
Göppingen,5,0,0
Nowawes,2,0,0
Wurzen,9,0,0
Mayen,3,0,0
Holzhausen,3,0,0
Caransebes (Rumänien),2,0,0
Köln-Nippes,2,0,0
Bussum (Niederlande),2,0,0
Syke,2,0,0
Boston (USA),12,0,0
Jork,2,0,0
Meppen,3,0,0
Buchholz,3,0,0
Döbeln,10,0,0
Sinsheim,3,0,0
Tangermünde,4,0,0
Lemberg,4,0,0
Slovenien),2,0,0
Dillenburg,6,0,0
Lippstadt,5,0,0
Dahlerau (Wupper),2,0,0
Kyritz (Prignitz),3,0,0
Bremen und (Geschäftsstelle:) Hannover,2,0,0
Burg (Fehmarn),2,0,0
Werdohl,2,0,0
Montreux (Schweiz),3,0,0
Herrnstadt,2,0,0
Padua (Italien),4,0,0
Hadersleben (Dänemark),2,0,0
Rottweil,5,0,0
Olbernhau,9,0,0
Flörsheim,2,0,0
später Detmold,4,0,0
Wunsiedel,3,0,0
Altötting,7,0,0
